"Date","Description","Amount (EUR)"
"Jan 1, 2025","Starting balance","22.56"
"Jan 1, 2025","Automatic payment: Visa  • • • • 0803. V9282138757381069","−22.56"
"Jan 1, 2025","GST","1.86"
"Jan 1 – 31, 2025","Google Workspace Business Starter: Usage of 3 seats","20.70"
"Feb 1, 2025","Ending balance","22.56"
